f_name,m_name,l_name,Employee_id,pan_number,email,voter_id_number,aadhaar_number,mobile_number,password,dob,current_address,permanent_address,gender,photo_name,marital_status,ration_card_number,DOJ,highest_qualification,salary,shift_time,employee_type,role,QR_Code,termination_date,reason_of_termination,created_by,updated_by,created_at,updated_at,can_login
Sohan,,sah,6207820355,,readesy05@gmail.com,,0,6207820353,123123,9/26/2024,bagahi ,Bagahi bakuliya tola West champaran bihar 845440,Male,profile_image/EnXo342pYiwicSq9XpvEhOjlVReuEbmlZcZJlZwr.jpg,,,0000-00-04,,59000,0,0,,bikashqr.png,0000-00-02,,0,6207820351,NULL,9/25/2024 15:16,0
Mohan,,badmas,6207820356,,readesy06@gmail.com,,0,6207820354,123123,9/27/2024,bagahi ,Bagahi bakuliya tola West champaran bihar 845441,Male,profile_image/EnXo342pYiwicSq9XpvEhOjlVReuEbmlZcZJlZwr.jpg,,,0000-00-05,,59000,0,0,,bikashqr.png,0000-00-03,,0,6207820351,NULL,9/26/2024 15:16,0
Madan,,panbdit,6207820378,,readesy07@gmail.com,,0,6207820355,123123,9/28/2024,bagahi ,Bagahi bakuliya tola West champaran bihar 845442,Male,profile_image/EnXo342pYiwicSq9XpvEhOjlVReuEbmlZcZJlZwr.jpg,,,0000-00-06,,59000,0,0,,bikashqr.png,0000-00-04,,0,6207820351,NULL,9/27/2024 15:16,0
Ranjeet,,kumar,6207820361,,readesy08@gmail.com,,0,6207820356,123123,9/29/2024,bagahi ,Bagahi bakuliya tola West champaran bihar 845443,Male,profile_image/EnXo342pYiwicSq9XpvEhOjlVReuEbmlZcZJlZwr.jpg,,,0000-00-07,,59000,0,0,,bikashqr.png,0000-00-05,,0,6207820351,NULL,9/28/2024 15:16,0
jalal,,prabhat,6207820368,,readesy09@gmail.com,,0,6207820357,123123,9/30/2024,bagahi ,Bagahi bakuliya tola West champaran bihar 845444,Male,profile_image/EnXo342pYiwicSq9XpvEhOjlVReuEbmlZcZJlZwr.jpg,,,0000-00-08,,59000,0,0,,bikashqr.png,0000-00-06,,0,6207820351,NULL,9/29/2024 15:16,0
Ramanujan,,sah,6207820359,,readesy10@gmail.com,,0,6207820358,123123,10/1/2024,bagahi ,Bagahi bakuliya tola West champaran bihar 845445,Male,profile_image/EnXo342pYiwicSq9XpvEhOjlVReuEbmlZcZJlZwr.jpg,,,0000-00-09,,59000,0,0,,bikashqr.png,0000-00-07,,0,6207820351,NULL,9/30/2024 15:16,0
rajesh,,kakad,6207820360,,readesy011@gmail.com,,0,6207820360,123123,10/2/2024,bagahi ,Bagahi bakuliya tola West champaran bihar 845446,Male,profile_image/EnXo342pYiwicSq9XpvEhOjlVReuEbmlZcZJlZwr.jpg,,,0000-00-10,,59000,0,0,,bikashqr.png,0000-00-08,,0,6207820351,NULL,10/1/2024 15:16,0
Ragav,,mangal,620782061,,readesy021@gmail.com,,0,62078203561,123123,10/3/2024,bagahi ,Bagahi bakuliya tola West champaran bihar 845447,Male,profile_image/EnXo342pYiwicSq9XpvEhOjlVReuEbmlZcZJlZwr.jpg,,,0000-00-11,,,0,0,,bikashqr.png,0000-00-09,,0,6207820351,NULL,10/2/2024 15:16,0
Raghu,,panday,6207820362,,readesy013@gmail.com,,0,6207820362,123123,10/4/2024,bagahi ,Bagahi bakuliya tola West champaran bihar 845448,Male,profile_image/EnXo342pYiwicSq9XpvEhOjlVReuEbmlZcZJlZwr.jpg,,,0000-00-12,,59000,0,0,,bikashqr.png,0000-00-10,,,,,,
Rudra,,raj,6207820364,,readesy014@gmail.com,,0,6207820362,123123,10/5/2024,bagahi ,Bagahi bakuliya tola West champaran bihar 845449,Male,,,,,,,,,,,,,,,,,
